"filename", "language", "PHP", "HTML", "JavaScript", "JSON", "CSS", "XML", "Markdown", "Batch", "Shell Script", "SQL", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\charity\build\js\Layout.js", "JavaScript", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 27, 46, 246
"c:\xampp\htdocs\charity\build\js\NavbarSearch.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 24, 26, 112
"c:\xampp\htdocs\charity\build\js\PushMenu.js", "JavaScript", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 25, 49, 224
"c:\xampp\htdocs\charity\build\js\SidebarSearch.js", "JavaScript", 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 25, 58, 299
"c:\xampp\htdocs\charity\build\js\Toasts.js", "JavaScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 21, 46, 210
"c:\xampp\htdocs\charity\build\js\TodoList.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 25, 28, 119
"c:\xampp\htdocs\charity\build\js\Treeview.js", "JavaScript", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 25, 36, 176
"c:\xampp\htdocs\charity\build\npm\.eslintrc.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\charity\build\npm\DocsPlugins.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 49
"c:\xampp\htdocs\charity\build\npm\DocsPublish.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 54
"c:\xampp\htdocs\charity\build\npm\Plugins.js", "JavaScript", 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 42, 4, 438
"c:\xampp\htdocs\charity\build\npm\Publish.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 60
"c:\xampp\htdocs\charity\build\npm\vnu-jar.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7, 56
"c:\xampp\htdocs\charity\build\scss\_adminlte.raw.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 4, 30
"c:\xampp\htdocs\charity\build\scss\_alerts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 7, 37
"c:\xampp\htdocs\charity\build\scss\_bootstrap-variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 587, 95, 230, 912
"c:\xampp\htdocs\charity\build\scss\_brand.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 3, 19, 107
"c:\xampp\htdocs\charity\build\scss\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 10, 19, 143
"c:\xampp\htdocs\charity\build\scss\_callout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 5, 12, 58
"c:\xampp\htdocs\charity\build\scss\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 400, 29, 93, 522
"c:\xampp\htdocs\charity\build\scss\_carousel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 3, 29
"c:\xampp\htdocs\charity\build\scss\_close.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 8, 8, 45
"c:\xampp\htdocs\charity\build\scss\_colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 13, 19, 105
"c:\xampp\htdocs\charity\build\scss\_control-sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 10, 28, 174
"c:\xampp\htdocs\charity\build\scss\_direct-chat.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 7, 42, 247
"c:\xampp\htdocs\charity\build\scss\_dropdown.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 26, 48, 322
"c:\xampp\htdocs\charity\build\scss\_elevation.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 3, 15
"c:\xampp\htdocs\charity\build\scss\_forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334, 20, 51, 405
"c:\xampp\htdocs\charity\build\scss\_info-box.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 3, 23, 154
"c:\xampp\htdocs\charity\build\scss\_layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 543, 15, 115, 673
"c:\xampp\htdocs\charity\build\scss\_main-header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 6, 29, 182
"c:\xampp\htdocs\charity\build\scss\_main-sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 926, 39, 179, 1144
"c:\xampp\htdocs\charity\build\scss\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 410, 22, 80, 512
"c:\xampp\htdocs\charity\build\scss\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 2, 14
"c:\xampp\htdocs\charity\build\scss\_modals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 5, 8, 77
"c:\xampp\htdocs\charity\build\scss\_navs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 5, 22, 146
"c:\xampp\htdocs\charity\build\scss\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 3, 6, 75
"c:\xampp\htdocs\charity\build\scss\_print.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 8, 9, 53
"c:\xampp\htdocs\charity\build\scss\_products.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 3, 16, 69
"c:\xampp\htdocs\charity\build\scss\_progress-bars.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 8, 13, 73
"c:\xampp\htdocs\charity\build\scss\_sidebar-mini.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 433, 5, 67, 505
"c:\xampp\htdocs\charity\build\scss\_small-box.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 8, 23, 166
"c:\xampp\htdocs\charity\build\scss\_social-widgets.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 14, 16, 94
"c:\xampp\htdocs\charity\build\scss\_table.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 9, 18, 156
"c:\xampp\htdocs\charity\build\scss\_text.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 5, 9, 46
"c:\xampp\htdocs\charity\build\scss\_timeline.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 12, 9, 156
"c:\xampp\htdocs\charity\build\scss\_toasts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 3, 12, 69
"c:\xampp\htdocs\charity\build\scss\_users-list.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 3, 9, 55
"c:\xampp\htdocs\charity\build\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 45, 33, 232
"c:\xampp\htdocs\charity\build\scss\adminlte.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 4, 25
"c:\xampp\htdocs\charity\build\scss\mixins\_accent.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 4, 15, 105
"c:\xampp\htdocs\charity\build\scss\mixins\_backgrounds.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 9, 65
"c:\xampp\htdocs\charity\build\scss\mixins\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 3, 14, 83
"c:\xampp\htdocs\charity\build\scss\mixins\_custom-forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 7, 24, 124
"c:\xampp\htdocs\charity\build\scss\mixins\_direct-chat.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 3, 18
"c:\xampp\htdocs\charity\build\scss\mixins\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 8, 33
"c:\xampp\htdocs\charity\build\scss\mixins\_navbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 5, 63
"c:\xampp\htdocs\charity\build\scss\mixins\_sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 14, 26, 167
"c:\xampp\htdocs\charity\build\scss\mixins\_toasts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 5, 24
"c:\xampp\htdocs\charity\build\scss\pages\_404_500_errors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 5, 9, 44
"c:\xampp\htdocs\charity\build\scss\pages\_e-commerce.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7, 8, 46
"c:\xampp\htdocs\charity\build\scss\pages\_iframe.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 9, 82
"c:\xampp\htdocs\charity\build\scss\pages\_invoice.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 4, 20
"c:\xampp\htdocs\charity\build\scss\pages\_kanban.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 8, 61
"c:\xampp\htdocs\charity\build\scss\pages\_lockscreen.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 8, 15, 94
"c:\xampp\htdocs\charity\build\scss\pages\_login_and_register.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 3, 19, 119
"c:\xampp\htdocs\charity\build\scss\pages\_mailbox.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 3, 19, 100
"c:\xampp\htdocs\charity\build\scss\pages\_profile.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 8, 45
"c:\xampp\htdocs\charity\build\scss\pages\_projects.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 5, 27
"c:\xampp\htdocs\charity\build\scss\parts\_components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 2, 16
"c:\xampp\htdocs\charity\build\scss\parts\_core.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 2, 14
"c:\xampp\htdocs\charity\build\scss\parts\_extra-components.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 2, 12
